Date,current_pure_regime,regime_plus_trend,buy_and_hold
2018-09-25,132281.83908055042,135306.14609015247,127843.74289067951
2018-09-26,132012.1037398289,135030.24389775007,127617.05972765347
2018-09-27,132102.39873057042,135122.60326690765,127692.9630524582
2018-09-28,131945.74723285047,134962.3703083771,127561.29119195495
2018-10-01,132121.1151303622,135141.7475722946,127708.71776299948
2018-10-02,132801.73316041182,135837.92630132943,128280.79401958754
2018-10-03,132090.55008749795,135110.48373302698,127683.426689485
2018-10-04,130869.63984044197,133861.66030118364,126657.18730181626
2018-10-05,130074.40567794113,133048.24501670382,125987.937701577
2018-10-08,129736.8567286142,132702.97882016722,125703.63824016735
2018-10-09,130239.48280018229,133217.09623145373,126127.11701474321
2018-10-10,127650.42740717849,130568.84829601378,123619.81212155621
2018-10-11,126849.47741602505,129749.58650416705,122844.15245917751
2018-10-12,127628.18136043532,130546.09364676276,123598.26850298246
2018-10-15,127159.20656803752,130066.39687044159,123144.10178451911
2018-10-16,128582.70400159522,131522.43915895734,124522.65169513244
2018-10-17,128537.7550624969,131476.462570164,124479.12203746296
2018-10-18,127698.06269499823,130617.57265044964,123665.94330537002
2018-10-19,127661.85692466851,130580.53912201074,123630.88074728238
2018-10-22,127323.20463670952,130234.14436165031,123302.92154602967
2018-10-23,126918.8264814607,129820.52106966957,122911.31179905667
2018-10-24,124520.82617294048,127367.69623502775,120589.02934667506
2018-10-25,125886.95357183757,128765.05686062634,121912.02070531012
2018-10-26,124773.84410188685,127626.49881212677,120834.05812938305
2018-10-29,123812.37302858148,126643.04600854959,119902.94590471973
2018-10-30,124909.09452689925,127764.84141374676,120965.03796602755
2018-10-31,125779.96083412587,128655.61799055898,121808.40630774839
2018-11-01,127037.2641665956,129941.66654843542,123026.0097650712
2018-11-02,126582.19312483755,129476.19139866812,122585.30778054398
2018-11-05,126601.63526123906,129496.07803289192,122604.13602341019
2018-11-06,126974.17334850834,129877.13331009826,122964.91106578002
2018-11-07,128662.50560341415,131604.06523302002,124599.93352821544
2018-11-08,127984.80408719087,130910.86969690575,123943.63071895979
2018-11-09,127199.54075532056,130107.65320218659,123183.16240307935
2018-11-12,125606.59858966134,128478.2922341356,121640.51804818686
2018-11-13,124998.25359169791,127856.03888673898,121051.38179630856
2018-11-14,124662.55601406058,127512.66638906568,120726.28400917139
2018-11-15,125632.64529819776,128504.93443819697,121665.74232107853
2018-11-16,126188.67454443734,129073.67595967127,122204.21471283145
2018-11-19,125102.90786860982,127963.0858327085,121152.7315709419
2018-11-20,123485.87824059265,126309.08670023979,119586.76032532404
2018-11-21,123978.93848980109,126813.41958957935,120064.25199229145
