Date,current_shared_signal,asset_specific_signal,buy_and_hold
2024-11-25,301719.79868190724,300023.49816053035,268661.60079334775
2024-11-26,301162.9501591555,299487.2788145935,268230.43825467717
2024-11-27,300859.560190864,299103.35545611393,267995.4696204027
2024-11-29,303384.9239059723,301443.97235762863,269951.56367006036
2024-12-02,303712.32852390636,301782.5777895767,270242.88793042966
2024-12-03,303390.06215067446,301444.1364338122,269993.53814258694
2024-12-04,303637.2462472688,301662.3005567004,270184.8204070292
2024-12-05,303258.77277165564,301353.2370851425,269891.9715659082
2024-12-06,303409.42143053736,301499.58897542977,270008.55692700675
2024-12-09,302143.95836365124,300152.36742452177,269029.29222680087
2024-12-10,302137.3858653458,300027.2992619984,269024.2033926517
2024-12-11,303461.61400263594,301256.46705014707,270049.50551883026
2024-12-12,300717.8402287609,298665.1575367785,267926.3095384991
2024-12-13,299084.8147326404,297151.618973901,266661.13252297486
2024-12-16,299270.4411911397,297314.51509242674,266805.0479645264
2024-12-17,298295.1005560801,296379.78730537323,266048.93149767985
2024-12-18,290591.0648185944,288895.8002375415,260073.95987202672
2024-12-19,288784.38672947034,287099.6620367508,258667.92027612563
2024-12-20,291460.03223312343,289759.6982268256,260751.92929922658
2024-12-23,291856.3297230422,290153.6837767725,261060.2282190417
2024-12-24,293993.40407282644,292278.29075611464,262722.4669144363
2024-12-26,294427.1958560698,292709.5518633162,263059.5547711027
2024-12-27,291787.3200457291,290085.07669154106,261008.57293514628
2024-12-30,290000.42781056534,288308.6089170135,259618.65589850378
2024-12-31,290391.4103355311,288697.3105087138,259923.02233888928
2025-01-02,290943.51044361445,289249.05944939295,260417.19511266667
2025-01-03,292277.9077030351,290524.1737164905,261611.58501651604
2025-01-06,292888.24094766716,291071.46916526405,262157.88100163266
2025-01-07,291399.33704061544,289624.377052778,260825.195564946
2025-01-08,290903.73765017214,289043.6963645977,260381.5953521006
2025-01-10,289061.5415411369,287207.0826000448,258732.68576538755
2025-01-13,289862.01992300665,288136.05842230265,259449.17651865096
2025-01-14,290324.1574137155,288660.6656232277,259862.82571434294
2025-01-15,295099.12777881254,293763.6632596553,264136.7976181283
2025-01-16,295069.91551762,293808.91386223264,264110.6503598132
2025-01-17,296977.1087399114,295755.54778938316,265817.7374459961
2025-01-21,299154.78466586967,297872.22871496883,267512.6854973795
2025-01-22,299217.3977548052,297820.31629212335,267561.372800312
2025-01-23,299496.7744682589,298079.39249369025,267778.60736982274
2025-01-24,298712.36184135557,297349.22597557044,267168.7469269736
2025-01-27,296791.4858398956,295696.83303027606,265674.8042005308
2025-01-28,297611.663756014,296382.8745771718,266313.22813778766
2025-01-29,297172.78909231623,295962.5101623125,265971.73226400313
2025-01-30,299688.5293347538,298430.15881259134,267929.64980870433
2025-01-31,297181.5339817437,295946.70010296244,265980.6744668282
2025-02-03,297251.69241363055,296110.46352674754,266043.46701918764
2025-02-04,301264.4889788262,299760.73804984585,269166.5071547793
2025-02-05,303383.7202752567,301875.9334778994,270812.97629252664
2025-02-06,302853.6967353463,301468.05283810577,270401.5666034085
2025-02-07,301307.63680711563,299890.6983371783,269201.2251408968
2025-02-10,304905.1842036669,303299.47271669994,271996.1850115997
2025-02-11,304528.72432763124,302867.59938755137,271704.1608009769
2025-02-12,301359.7274841792,299989.25825682207,269245.5375060961
2025-02-13,305428.04044478916,303973.6782645078,272406.2123031218
2025-02-14,305118.6266525547,303656.4601820276,272166.2461828329
2025-02-18,307051.2289689348,305419.89388592297,273665.2757458419
2025-02-19,307467.0910471987,305820.2364821779,273987.5757672493
2025-02-20,308263.7618000451,306471.23625847645,274604.8999130871
2025-02-21,305541.68670760636,303872.52784999146,272496.32968724007
2025-02-24,305346.05128599657,303630.19457702374,272344.6107347535
2025-02-25,303424.99907599157,301846.00588081783,270854.67407712253
2025-02-26,303975.8186429402,302416.2408443677,271282.23351193883
2025-02-27,299799.296609622,298203.95706006594,268041.0826044678
2025-02-28,303116.6516065533,301407.82228423015,270620.1628927066
2025-03-03,299865.9118981386,297927.65361589094,267717.9280443392
2025-03-04,298635.64786249417,296673.0085713206,266619.5579879185
2025-03-05,298537.2822666234,296522.7523664241,266531.7379574566
2025-03-06,296568.48156330537,294492.61163791886,264774.00817187305
2025-03-07,297949.3728336184,295840.1075030803,266006.85703889705
2025-03-10,295672.07048159203,293593.7987968838,263973.69940735504
2025-03-11,293914.11079862696,291888.61142119626,262404.206826722
2025-03-12,294777.39759487537,292731.70557280775,263174.94248966116
2025-03-13,294247.44706371153,292438.5715772617,262701.80682288564
2025-03-14,298346.5578724687,296469.5349902305,266361.46071818203
2025-03-17,300806.21877816104,299006.26008115674,268557.42663239804
2025-03-18,299828.8465337125,298148.34319276037,267684.83637845586
2025-03-19,302775.37846912397,301161.4453255989,270315.476919328
2025-03-20,302614.40868272627,300995.7074497187,270171.7643598732
2025-03-21,301779.6165651527,300039.2497853403,269426.4685219773
2025-03-24,303454.1290427861,301571.7305737245,270921.4600939059
2025-03-25,304620.7124502252,302769.8825190872,271962.9765862393
